Timestamp,Email Address,What is the full name of your high school?,What is the address of your school?,What is the school phone number?,What is your website address?,Please explain your application process.,"Tell us about your school, in 100 words or less. (Ex: your ""Mission Statement"" or ""About Us"")",How big is your student body?,How many students are accepted per year (average)?,What is the makeup of your student body?,What is the cost of tuition for your school?,Does your school offer merit-based scholarships?,Does your school offer financial aid or tuition assistance based on financial need?,Which private scholarships are compatible with your school?,Where can I find information online about your scholarships and/or financial aid?,Is your school easy to access with public transportation?,What bus lines stop within walking distance of your school?,What L lines stop within walking distance of your school?,What Metra lines stop within walking distance of your school?,Does your school provide its own transportation?,What kind of support and programming do you offer your students?,What academic programming do you offer?,What AP Classes do you offer?,What extracurriculars do you offer?,What sports do you offer?,Please share 2-3 images you would like to be featured on your school's profile page.,Shadow Sign-Up Form,Transportation Options
11/7/2017 11:37:08,toconnell@brrice.org,Brother Rice High School ,"10001 S Pulaski Rd
Chicago, IL 60655",(773) 429-4300,http://www.BrotherRice.org,December Entrance Exam,"For over 60 years, Brother Rice High School has been fostering a community of faith where each young man is accepted, recognized, valued and challenged to grow, while ‘Acting Manfully in Christ Jesus.’ Our success is a result of many components: A student’s hard work; parental involvement; a dedicated, caring faculty and coaching staff; and a nurturing, supportive atmosphere.
We, the family of Brother Rice High School, are a diverse, Catholic Christian community, committed to preparing young men for college and for the process of life-long learning.
",Over 500 students,Approximately 200 students per year.,All boys,"$11,500.00",Yes,Yes,Big Shoulders Fund,http://brotherrice.org/admissionsforbr/tuition-financial-aid/,Yes,"CTA: 53A, 103
PACE: 381, 382, 383",None,None,Yes - to/from defined locations,Tutoring,"Dual Enrollment or Credit, AP Biology, AP English, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP German, AP French, AP Spanish","AP Biology, AP English, AP Calculus, AP Chemistry, AP Physics, AP United States History, AP Economics, AP World History, AP Psychology, AP Government and Politics, AP German, AP French, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis","https://drive.google.com/open?id=1Sd1HcN627PDdyfbpQjwVUWm9_VUpBOR8, https://drive.google.com/open?id=1y5LtE8mvJTmOkbzPo9rvgpWm4psoIjrz, https://drive.google.com/open?id=19vDqHOmwnQHGy2T90NVZDxjpc4FIheQW",http://brotherrice.org/shadow/,"Public Transit (CTA, PACE, or Metra), School bus"
11/28/2017 10:44:27,tpayne@ctkjesuit.org,Christ the King Jesuit College Preparatory School,"5088 W Jackson Blvd
Chicago, IL 60644",(773) 261-7505,https://www.ctkjesuit.org,,"Christ the King Jesuit College Prep, a Catholic school on Chicago’s West Side and a member of the Cristo Rey Network, challenges and inspires its young women and men through the integration of academics, work experience, and extracurricular activities to lead lives of integrity, faith, and servant leadership
for the greater glory of God.",Between 250 and 500 students,Approximately 125 students per year.,Co-ed,"$15,620.00",No,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Tax Credit",https://www.ctkjesuit.org/apps/pages/index.jsp?uREC_ID=281356&type=d&pREC_ID=650463,Yes,"CTA: 126, 57","Blue, Green",None,Yes - to/from defined locations (Pick-ups ONLY in west suburbs),"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling, Restorative Justice Programs","AP English, AP Statistics, AP United States History, AP Psychology, Summer School, Credit Recovery, Service Learning, Online Classes","AP English, AP Statistics, AP United States History, AP Psychology","Choir/Chorus, National Honor Society, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship, Pom-Pom, Step Team, Natural Hair Club, Anime Club, Video Game Club, Majorettes/Flag Girls, Peer Ministers, Dance Team, Film Production Club, Yearbook, Service Leadership Team, Praise Dance, Mock Trial, Certamen Team, Service Immersion Trips","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Wrestling, Cheerleading/Dance Team, Volleyball, Golf","https://drive.google.com/open?id=1SvKeYiWoGptYQYFHYWJYEuHCawkQIl9x, https://drive.google.com/open?id=1Lz6ugL8RRTtU7B3aPrks116OvsF_po_j, https://drive.google.com/open?id=1Rss0YfECJfGR6crW0b8eQvb9U5oEUl9K",https://1.cdn.edl.io/I9LWcpCOWLAYzXOx3O2X6mBEvQl3SgRIM7m2H3gG8r8PbHXC.pdf,"Public Transit (CTA, PACE, or Metra), School bus"
11/7/2017 16:03:32,mcrossett@cristorey.net,Cristo Rey Jesuit High School,"1852 W 22nd Pl
Chicago, IL 60608",(773) 890-6800,http://www.cristorey.net/,,"Cristo Rey Jesuit High School provides a Catholic, college preparatory education and professional work experience to students from Spanish speaking families with limited financial means.

The reason for the school's existence is to advance the human and intellectual capacities, as well as the religious and cultural heritage, of the immigrant families it serves.  Through its Corporate Work Study Program, faith-based college preparatory education, and Spanish heritage language curriculum, the goal is to prepare students to succeed in college and to assume leadership roles in the civic, religious, business and cultural life of our city and nation.",Over 500 students,Approximately 200 students per year.,Co-ed,"$2,950.00",Yes,Yes,"Big Shoulders Fund, HFS Chicago Scholars, Daniel Murphy Scholarship Fund",https://www.cristorey.net/apps/pages/index.jsp?uREC_ID=241805&type=d&pREC_ID=558944,Yes,"CTA: 21, 50, 60",Pink,None,Between Cristo Rey and our Corporate Work Study Program sites (both to and from),Tutoring; dual-language curriculum; mental health counseling; post-secondary college and career counseling; free meals; Corporate Work Study Program interships,"AP English, AP Government and Politics, AP Spanish, Corporate Work Study Program professional development, online classes, summer school, study abroad, summer enrichment programming, service learning","AP English, AP Government and Politics, AP Spanish","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Robotics, Art, Student Government, Business/Entrepreneurship, Sociedad Honoraria Hispanica; School Ambassadors; Book Club; Dance; Service Learning Club; Christian Life Communities; History Club; Freshmen Mentors; Mock Trial; Shakespeare Slam; Table Tennis; Technology Club; Yearbook; Las Chicas","Basketball, Softball, Baseball, Track and Field, Cross Country, Cheerleading/Dance Team, Soccer, Volleyball","https://drive.google.com/open?id=1vk7ipF60J0gEVJ078bWMSNjLFXbVLJ4M, https://drive.google.com/open?id=1nOj7mTEHAGmILuVuhZtDxiJIGX7qyRXe, https://drive.google.com/open?id=1PFd5NGsPYaGJ89o465FQYg-_-AC0mCPp",https://appro.rediker.com/apwebonlinereg/index.aspx?schoolid=CC009004F1044D3DB0C0F95F6A475375,"Public Transit (CTA, PACE, or Metra), School bus"
12/11/2017 12:05:46,prestonkendall@cristoreystmartin.org,Cristo Rey St. Martin College Prep,"3106 Belvidere Rd
Waukegan, IL 60085",(847) 344-8798,https://www.cristoreystmartin.org,,"We are an affordable, safe, co-educational, Catholic high school committed to academic excellence in the greater Waukegan and North Chicago area.

Cristo Rey Saint Martin College Prep, a Catholic learning community, empowers young people of limited economic means to become men and women of faith, purpose and service. Through a rigorous college preparatory curriculum, integrated with a relevant work study experience, students graduate ready to succeed in college and in life.
",Between 250 and 500 students,Approximately 125 students per year.,Co-ed,"$15,000.00",No,Yes,"Big Shoulders Fund, Cuneo Scholars",https://www.cristoreystmartin.org/admission/,Yes,"PACE: 568, 564",None,None,No,"Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling, Restorative Justice Programs","AP Biology, AP English, AP Calculus, AP Physics, AP United States History, AP World History, AP Government and Politics, AP Spanish, Online Classes, Summer School, Credit Recovery, Service Learning","AP Biology, AP English, AP Calculus, AP Physics, AP United States History, AP World History, AP Government and Politics, AP Spanish","Drama, Choir/Chorus, National Honor Society, Art, Foreign Language, Student Government","Basketball, Soccer, Volleyball","https://drive.google.com/open?id=1ryW_apLOmphqUdcAXkvk2HuDq4ych2Tb, https://drive.google.com/open?id=1czUgMkLBEYfyjj428xwF5Qs7BIVuZPzL",https://docs.google.com/forms/d/e/1FAIpQLSfV_rEfE2XiALgqJ2QvTXGU5qNHsjAKCFGCtxjhmlaOG4_Jdg/viewform?c=0&w=1,"Public Transit (CTA, PACE, or Metra)"
12/4/2017 15:22:44,atterberryb@dls.org,De La Salle Institute,"3434 S Michigan Ave
Chicago, IL 60616",(312) 842-7355,https://www.dls.org/index.jsp,December Entrance Exam,"De La Salle Institute is an independent Catholic secondary school rooted in the tradition of Christian Education begun by St. John Baptist de La Salle. Founded in 1889, its mission has been, and is, to foster a desire for excellence in education. Young people from a variety of ethnic and economic backgrounds are given the opportunity to fully develop their abilities so they may be active, contributing members of our complex changing society.",Over 500 students,Approximately 420 students per year.,Co-ed,"$11,650.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight",https://www.dls.org/apps/pages/index.jsp?uREC_ID=212871&type=d&termREC_ID=&pREC_ID=413293,Yes,"CTA: 35, 1, 4","Red, Green",Rock Island District (RI),Yes - to/from defined locations,"English as a Second Language (ESL), Post-High School Counseling, Tutoring","AP English, AP Calculus, AP United States History, AP Government and Politics, AP French, AP Spanish, AP Studio Art, Online Classes, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning","AP English, AP Calculus, AP United States History, AP Government and Politics, AP French, AP Spanish, AP Studio Art","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Water Polo, Soccer, Volleyball, Golf, Rowing, Bowling, Lacrosse, Tennis, Gymnastics",https://drive.google.com/open?id=1EiAcRmtHtsp3qb6Jp3M3xHB7dALSESMa,"Contact Bob Garrett at 312-842-7355 or garrettr@dls.org.
","Public Transit (CTA, PACE, or Metra), School bus"
11/13/2017 11:15:58,mdempsey@depaulprep.org,DePaul College Prep,"3633 N California Ave
Chicago, IL 60618",(773) 539-3600,https://www.depaulprep.org,December Entrance Exam,"DePaul College Prep is a Catholic coed high school operating in academic partnership with DePaul University.  We operate under four core values: Faith, Respect, Excellence and Service. We offer college prep, AP, Honors and IB, and we strive to create a highly educated student body governed by academics, compassion, and social justice.",Between 250 and 500 students,(Information unavailable).,Co-ed,"$12,159.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Daniel Murphy",http://www.depaulprep.org/admissions/financial-aid,Yes,CTA: 152,"Blue, Brown",None,Yes - to/from defined locations,"Post-High School Counseling, Support for Learning Differences, Tutoring, anti bullying; peer tutors","IB Program, AP Biology, AP Calculus, AP United States History, AP Computer Science, AP European History, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning","AP Biology, AP Calculus, AP United States History, AP Computer Science, AP European History","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Band/Orchestra, Foreign Language, Student Government","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Soccer, Volleyball, Rowing, Tennis","https://drive.google.com/open?id=11u-DdoPxTbyzqm9qllzv0eDzoqWSNBnW, https://drive.google.com/open?id=1Z7v4MSkgM1CkZM9SnqgZhcx-8IXA6NNR",https://www.depaulprep.org/shadow-day-form,"Public Transit (CTA, PACE, or Metra), School bus"
12/2/2017 10:14:55,jori@fenwickfriars.com,Fenwick High School,"505 Washington Blvd
Oak Park, IL 60302",(708) 386-0127,https://www.fenwickfriars.com,December Entrance Exam,"Fenwick High School, guided by Dominican Catholic values, inspires excellence and educates each student to lead, achieve and serve.",Over 500 students,Approximately 310 students per year.,Co-ed,"$15,300.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Daniel Murphy Scholarship Fund",https://www.fenwickfriars.com/admissions/tuition-financial-assistance/,Yes,"CTA: 90
PACE: 307, 309, 313, 318","Blue, Green",Union Pacific West (UP-W),Yes - to/from defined locations,"Post-High School Counseling, Tutoring","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Government and Politics, AP Latin, AP German, AP Italian, AP French, AP Spanish, AP Art History, Summer School, Service Learning","AP Biology, AP English, AP Computer Science, AP Calculus, AP Statistics, AP Chemistry, AP Environmental Studies, AP Physics, AP United States History, AP Economics, AP World History, AP Government and Politics, AP Latin, AP German, AP Italian, AP French, AP Spanish, AP Art History","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship, Over 40 different clubs/activities.","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Swimming, Diving, Water Polo, Soccer, Volleyball, Golf, Bowling, Lacrosse, Tennis, Fishing, sailing to name a few.","https://drive.google.com/open?id=1WUdP5QSYpyViZISErT7rIHPnYfZVazDo, https://drive.google.com/open?id=1DSOmumrrytovbujVcpCmk0e2MsshET4U",https://www.fenwickfriars.com/admissions/online-shadow-day-form/,"Public Transit (CTA, PACE, or Metra), School bus"
12/4/2017 13:46:45,edelcid@guerinprep.org,Guerin College Preparatory High School,"8001 W Belmont Ave
River Grove, IL 60171",(708) 453-6233,http://www.guerinprep.org,December Entrance Exam,"Our Mission 
Sharing in the mission of the Sisters of Providence, Guerin College Preparatory High School, a Catholic Learning Community, committed to works of love, mercy and justice, is dedicated to the education and faith development of young women and men and to the cultivation of individual values and skills.

Our Vision
To promote an exemplary student centric Catholic High School, where the faith-based community experience is tailored to the students' needs and aspirations. We will provide an effective, multi-dimensional approach to complete student development by being a leader in academics, fine arts and athletics, and by being recognized among our constituents as an innovative, Catholic and college preparatory high school that fosters and promotes a community of compassionate teachers, engaged parents, and enthusiastic learners.",Between 250 and 500 students,Approximately 125 students per year.,Co-ed,"$10,500.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Chicago Lights",http://www.guerinprep.org/aidandscholarships.asp,Yes,"CTA: 77
PACE: 331",None,"Milwaukee District West (MD-W), North Central Service (NCS)",Yes- to/from defined locations based on need,"English as a Second Language (ESL), Post-High School Counseling, Support for Learning Differences, Tutoring, Mental Health Counseling, Math resource center, Welch Learning and Enrichment Center ","AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP United States History, AP Government and Politics, AP Japanese, AP Italian, AP French, AP Spanish, AP Music Theory, AP European History, Online Classes, Summer School, Credit Recovery, Dual Enrollment or Credit, Service Learning, Honors Program, Three academic levels of studyels ","AP Biology, AP English, AP Computer Science, AP Calculus, AP Chemistry, AP United States History, AP Government and Politics, AP Japanese, AP Italian, AP French, AP Spanish, AP Music Theory, AP European History","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Robotics, Art, Band/Orchestra, Foreign Language, Student Government","Basketball, Football, Softball, Baseball, Track and Field, Cross Country, Hockey, Wrestling, Cheerleading/Dance Team, Soccer, Volleyball, Golf","https://drive.google.com/open?id=1u5iD-Fk6XUeCWlZvwioLOffxYfYlCDRY, https://drive.google.com/open?id=1PdjYiPb3XCav55LachniziVafYKkzgfX, https://drive.google.com/open?id=1ddq00HWBAWHhd2VPawRA0NaH4az3hUUq",https://docs.google.com/forms/d/e/1FAIpQLSc4OyzVFz-u7cXclt_StVzR6zg1joWOgZYOCM3WnTRbtEr31g/viewform,"Public Transit (CTA, PACE, or Metra), School bus"
12/11/2017 16:45:03,crubalcava@holytrinity-hs.org,Holy Trinity High School,"1443 W Division St
Chicago, IL 60642",(773) 278-4212,http://www.holytrinity-hs.org,December Entrance Exam,"Holy Trinity High School, a Catholic school in the Holy Cross tradition, challenges and nurtures students academically, spiritually and personally, as they prepare to lead lives of leadership and service. Founded in 1910 by the Brothers of Holy Cross, we are a diverse and inclusive community. We set rigorous standards in our college preparatory curriculum. Because education continues beyond the classroom, we also encourage each student to participate in fine arts, athletics and student life programs. We are small by design, so every student here is known and valued here. We are committed to making HT affordable for every admitted student and look forward to welcoming you here.",Between 250 and 500 students,Approximately 100 students per year.,Co-ed,"$8,500.00",Yes,Yes,"Big Shoulders Fund, LINK Unlimited, HFS Chicago, Highsight, Madonna Foundation, Chicago Lights, Daniel Murphy, Horizons for Youth, Metro Achievement Center, Midtown",https://www.holytrinity-hs.org/apps/pages/tuition,Yes,"CTA: 70, 9, 56",Blue,Union Pacific Northwest (UP-NW),Yes - to/from defined locations,"English as a Second Language (ESL), Post-High School Counseling, Tutoring, Mental Health Counseling","AP English, AP Calculus, AP Physics, AP Government and Politics, AP Spanish, AP Studio Art, Summer School, Credit Recovery, Service Learning","AP English, AP Calculus, AP Physics, AP Government and Politics, AP Spanish, AP Studio Art","Drama, Choir/Chorus, National Honor Society, STEM Clubs, Coding, Robotics, Art, Band/Orchestra, Foreign Language, Student Government, Business/Entrepreneurship, Yoga, Student Ambassadors, Poetry, Math, Black Student Umoja, Club Raises, Yearbook, Chess, Pet Club, Student Newspaper","Basketball, Flag Football, Softball, Baseball, Track and Field, Cross Country, Cheerleading/Dance Team, Soccer, Volleyball, Rowing","https://drive.google.com/open?id=1nG1VBnHk8iARDjsrDuqu_Opz48q-m38A, https://drive.google.com/open?id=1Y24WygWiQ67dqUxKKlDTpxxgyvKngo15, https://drive.google.com/open?id=1JnpQfUz5OAurfP53cLDyRREIjjZCltDH",https://www.holytrinity-hs.org/apps/form/form.HOLTHS.qeD1RsS.HC,"Public Transit (CTA, PACE, or Metra), School bus"
11/8/2017 13:24:22,stephanie.castrounis@josephinum.org,Josephinum Academy of the Sacred Heart,"1501 N Oakley Blvd
Chicago, IL 60622",(773) 276-1261,http://www.josephinum.org,December Entrance Exam,"Josephinum Academy of the Sacred Heart offers academic excellence combined with holistic, moral and spiritual development in an affordable college-preparatory environment for girls in Chicago. The school serves a diverse population of young women representing 20 different nationalities and 46 Chicago zip codes. Josephinum is the first all-girls independent high school in the Midwest to offer its entire student body an International Baccalaureate Diploma Programme. All graduating students for the past nine years have been accepted into college. The Class of 2017 received nearly $4 million in merit-based scholarships.",Less than 250 students,(Information unavailable).,All girls,"$8,980.00",Yes,Yes,"Big Shoulders Fund, HFS Chicago, Daniel Murphy Scholarship Fund, Highsight, Madonna",http://www.josephinum.org/page.cfm?p=617,Yes,"CTA: 49, 72",Blue,None,No,All the above,"IB, Credit Recovery",IB only,"Drama, Choir/Chorus, National Honor Society, Art, Foreign Language, Student Government, Business/Entrepreneurship","Basketball, Softball, Cheerleading/Dance Team, Soccer, Volleyball","https://drive.google.com/open?id=1-svU04PDlHPvYeY04pffPekZ5yIoaIe5, https://drive.google.com/open?id=1WGMzojebfBB_FadMCSEGZrobYrwD1Cji",http://www.josephinum.org/page.cfm?p=632,"Public Transit (CTA, PACE, or Metra)"
